exp_id,model,batch_size,lr,weight_decay,dropout,seed,unique_id,duration,total_energy_J,accuracy_0,accuracy,precision_0,precision,recall_0,recall,specificity_0,specificity,epochs,optimizer,test_accuracy,Pg_0,Pg,EDP,EDPinv,EDPinv_per_epoch,EEDP,EEDPinv,EEDP2,EEDPinv2,FLOPS,FLOPS_,FPJ,n_samples,rate,tot_samples,SPJ,Eg,Eg2,Eg3
32015,vit_small_patch32_224,128,0.03,0.0,0.05,15,32015_vit_small_patch32_224,642.0883648879826,78588.4122025668,0.843,0.8793,0.8478487452593104,0.879159637108784,0.8414594611772697,0.878793772052738,0.9984141402425256,0.9987808071800816,10,SGD,0.883,0.6004680130514773,0.678518936855163,50460705.0902889,1.9817400454684665e-08,1.9817400454684666e-09,5046070.509028889,1.9817400454684667e-07,504607.05090288894,1.9817400454684668e-05,1137790752,11377907520,144778.43744536655,,,,,,,
337,vit_b_16,128,0.03,0.0,0.1,1,337_vit_b_16,2088.5393630890176,429927.9284469762,0.7016,0.8762,0.7114457377439207,0.8752824674668348,0.6990675476817063,0.87429406385707,0.9969858562859818,0.9987494939953234,10,SGD,0.8713,0.3478880421435683,0.6696773034165573,897921401.8528284,1.113683222091083e-09,1.1136832220910829e-10,89792140.18528283,1.1136832220910832e-08,8979214.018528283,1.113683222091083e-06,17262805008,172628050080,401527.8809720093,,,,,,,
338,vit_b_16,128,0.03,0.0,0.05,1,338_vit_b_16,2087.38972949679,429591.1760192459,0.754,0.8792,0.7571100396261717,0.8782038791285766,0.7511971209601517,0.8777261214121258,0.9975151496191405,0.9987797970487486,10,SGD,0.8747,0.4277635408461708,0.6768801882542358,896724208.7050216,1.1151700715698545e-09,1.1151700715698544e-10,89672420.87050216,1.1151700715698545e-08,8967242.087050216,1.1151700715698544e-06,17262805008,172628050080,401842.6348502703,,,,,,,
329,vit_l_32,128,0.03,0.0,0.1,1,329_vit_l_32,1829.401133310981,364891.9698702767,0.7429,0.8753,0.7455464062020225,0.8737662031030788,0.7402656098552662,0.8733692045062987,0.9974030283214677,0.998740403079296,10,SGD,0.8743,0.4089434871475866,0.6671180085973748,667533783.2167605,1.4980515220984428e-09,1.4980515220984429e-10,66753378.321676046,1.498051522098443e-08,6675337.832167605,1.4980515220984428e-06,15382805008,153828050080,421571.48630781774,,,,,,,
330,vit_l_32,128,0.03,0.0,0.05,1,330_vit_l_32,1832.0911582859696,365387.19807398616,0.7705,0.876,0.7700645632118213,0.8744000872376855,0.767916084320842,0.8742449256822197,0.9976818164129784,0.998747473791762,10,SGD,0.8768,0.4545750578156906,0.6688105459148739,669422654.9422343,1.493824555558688e-09,1.493824555558688e-10,66942265.49422343,1.493824555558688e-08,6694226.549422343,1.4938245555586877e-06,15382805008,153828050080,421000.10862682667,,,,,,,
3292,vit_l_32,128,0.03,0.0,0.1,2,3292_vit_l_32,1831.734563108068,365188.70565650985,0.7478,0.8775,0.7552816083237165,0.878041811051268,0.7478208374426911,0.8778708528404696,0.997452523037643,0.9987626251868011,10,SGD,0.8731,0.4212929248744728,0.6755464777887682,668928774.2077279,1.4949274699453455e-09,1.4949274699453454e-10,66892877.42077279,1.4949274699453456e-08,6689287.742077279,1.4949274699453456e-06,15382805008,153828050080,421228.9364301644,,,,,,,
3302,vit_l_32,128,0.03,0.0,0.05,2,3302_vit_l_32,1825.9242118999828,364673.17127397313,0.7772,0.8783,0.7793184307114429,0.8784650293060844,0.7783237260975332,0.8786406015766235,0.9977494929928108,0.998770706001908,10,SGD,0.8761,0.4703590716545184,0.6770869198894651,665865572.8594968,1.5018046295825063e-09,1.5018046295825063e-10,66586557.28594968,1.5018046295825063e-08,6658655.728594968,1.5018046295825064e-06,15382805008,153828050080,421824.4230651984,,,,,,,
3293,vit_l_32,128,0.03,0.0,0.1,3,3293_vit_l_32,1831.0239614688328,365637.74188330007,0.7422,0.8769,0.7471800461778834,0.8758776026393881,0.7429254408496966,0.876268735592349,0.9973959572071632,0.998756564515911,10,SGD,0.8739,0.4109216748154156,0.6721875349591666,669491466.6056787,1.4936710173021315e-09,1.4936710173021315e-10,66949146.66056786,1.4936710173021316e-08,6694914.666056786,1.4936710173021316e-06,15382805008,153828050080,420711.62918705755,,,,,,,
3303,vit_l_32,128,0.03,0.0,0.05,3,3303_vit_l_32,1824.073651739164,365313.5799012504,0.767,0.88,0.771066514213478,0.878923795063514,0.7676542040856252,0.8792478561430318,0.9976464624874672,0.9987878776759488,10,SGD,0.8754,0.4529283515034034,0.6792325269437692,666358875.7203808,1.500692849508352e-09,1.500692849508352e-10,66635887.57203807,1.5006928495083522e-08,6663588.757203807,1.5006928495083522e-06,15382805008,153828050080,421084.9487762868,,,,,,,
3363,vit_b_16,128,0.03,0.0,0.1,3,3363_vit_b_16,2080.111522537889,429349.6586751577,0.7172,0.8751,0.7294355074631287,0.8756385622764477,0.7183719783073793,0.8745812718833824,0.9971434317229858,0.99873838268105,10,SGD,0.8726,0.3747435763982708,0.6693210395714263,893095172.2079052,1.1197014955615596e-09,1.1197014955615596e-10,89309517.22079054,1.1197014955615593e-08,8930951.722079054,1.1197014955615594e-06,17262805008,172628050080,402068.6789706031,,,,,,,
