unique_id,exp_id,batch_size,lr,epochs,optimizer,project,source_file,model,duration,total_energy_J,accuracy_0,accuracy,precision_0,precision,recall_0,recall,specificity_0,specificity,test_accuracy,Pg_0,Pg,weight_decay,dropout,duration_minus_load,energy_minus_load,n_samples,rate,tot_samples,SPJ,EDP,EDPinv,EDPinv_per_epoch,EEDP,EEDPinv
31045_vit_tiny_patch16_224,31045,64,0.03,10,SGD,24_03,project_24_03conf.csv,vit_tiny_patch16_224,715.3252830050187,89639.4002390226,0.7299,0.8616,0.7657475608915383,0.860401282570129,0.7286873501621571,0.8604981819389467,0.9972717149934376,0.9986020190858635,0.8617,0.4061661419227478,0.6370142334256361,0.0,0.0,714.8954729066463,89616.76875043222,48000,8,480000,5.356140448856397,64066622.27620581,1.5608751709880573e-08,1.560875170988057e-09,6406662.22762058,1.5608751709880574e-07
31046_vit_tiny_patch16_224,31046,64,0.03,10,SGD,24_03,project_24_03conf.csv,vit_tiny_patch16_224,718.0012035600375,89888.08166332344,0.7533,0.8622,0.7768681267314369,0.862122403930098,0.7546472325142816,0.8627240870147324,0.9975080790031822,0.9986080797999128,0.8622,0.4405301901484063,0.6403891261636823,0.0,0.0,717.5713934616651,89865.45017473307,48000,8,480000,5.3413185942617,64484876.30594304,1.550751210649121e-08,1.5507512106491212e-09,6448487.630594304,1.5507512106491212e-07
3211_vit_b_32,3211,96,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,923.0512989729176,152827.1567097797,0.7332,0.8632,0.7436725386336712,0.8613891199419023,0.7316151758751586,0.8616658195964455,0.9973050484487264,0.9986181807638146,0.8659,0.3978459340388677,0.6398072366399722,0.0,0.0,921.9270791776166,152752.5608442346,48000,8,480000,3.142336844286803,140826722.2560264,7.100925051582013e-09,7.100925051582013e-10,14082672.225602638,7.100925051582013e-08
32110_vit_b_32,32110,96,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,918.4293990649747,152190.5077312279,0.7202,0.8506,0.7385379452241705,0.8503114645065805,0.7191717279391999,0.8496415476154106,0.9971737351301544,0.9984909078929416,0.8637,0.3814427527115246,0.6135970583584957,0.0,0.0,917.3051792696738,152115.9118656828,48000,8,480000,3.1554884305846738,139536713.80372006,7.166572672813941e-09,7.16657267281394e-10,13953671.380372008,7.166572672813939e-08
32111_vit_b_32,32111,96,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,913.0712080050724,151531.78937183713,0.7149,0.8609,0.7415592809011707,0.8619894188658418,0.7166001685266682,0.8616720977342905,0.997120199304839,0.9985949481701264,0.8619,0.3788049031796954,0.6385369556050463,0.0,0.0,911.9469882097716,151457.19350629204,48000,8,480000,3.1692122961466285,138120931.46076757,7.240032263205842e-09,7.240032263205841e-10,13812093.14607676,7.240032263205841e-08
32112_vit_b_32,32112,96,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,909.801428884035,151075.6227839844,0.7361,0.8555,0.7510722839962312,0.8560734936640945,0.7365028096365601,0.8557377811910541,0.997334341112056,0.9985404027688218,0.8619,0.4061006970834638,0.6258026715593563,0.0,0.0,908.677209088734,151001.0269184393,48000,8,480000,3.178786328779499,137211191.70978022,7.288035236332121e-09,7.28803523633212e-10,13721119.170978025,7.28803523633212e-08
32113_vit_b_32,32113,96,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,904.4313027991448,150298.04752145137,0.7336,0.8581,0.7478863263951833,0.8582417553687037,0.7341549546151418,0.8588481412820461,0.9973090889024556,0.9985666655978168,0.8615,0.4017098000070561,0.631598349447459,0.0,0.0,903.3070830038438,150223.45165590628,48000,8,480000,3.195240122024769,135697907.91406566,7.369310370158961e-09,7.369310370158961e-10,13569790.791406564,7.369310370158963e-08
32114_vit_b_32,32114,96,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,918.3512196550146,152010.33485079132,0.7279,0.8547,0.7537175788629159,0.8539178428072856,0.7277829804922428,0.8542921672268724,0.9972515128944802,0.9985323220270782,0.8591,0.3981868952278996,0.6225845571979974,0.0,0.0,917.2269998597136,151935.73898524622,48000,8,480000,3.1592303641384243,139359562.04090592,7.1756827113626565e-09,7.175682711362654e-10,13935956.204090592,7.175682711362655e-08
32115_vit_b_32,32115,96,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,921.9137384700588,152506.12814494706,0.7275,0.8529,0.739037846584208,0.8527965670271229,0.7272603319154511,0.8529056399725958,0.9972474727139377,0.9985141403164044,0.8612,0.3899352717997751,0.6194393114872795,0.0,0.0,920.7895186747578,152431.53227940196,48000,8,480000,3.148954765607,140357357.23840633,7.124671051631681e-09,7.12467105163168e-10,14035735.723840632,7.124671051631683e-08
3212_vit_b_32,3212,96,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,910.6443568649702,151049.26979377418,0.7296,0.8617,0.7525326595958555,0.8617633425802045,0.7297027734148549,0.8618469987600436,0.9972686844939675,0.9986030290884456,0.8644,0.3995474442000949,0.6390975635704115,0.0,0.0,909.5201370696692,150974.67392822908,48000,8,480000,3.179341193531468,137314506.12525153,7.282551772700905e-09,7.282551772700905e-10,13731450.612525154,7.282551772700905e-08
3213_vit_b_32,3213,96,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,919.3912936919368,152193.57321991428,0.7133,0.858,0.728767644287598,0.8578827137421778,0.7122221624728899,0.8578579892643623,0.9971040377474544,0.9985656552498728,0.8597,0.3691622338056614,0.630532141626349,0.0,0.0,918.2670738966358,152118.97735436918,48000,8,480000,3.155424841450352,139685848.21934518,7.158921342051237e-09,7.158921342051237e-10,13968584.821934516,7.158921342051239e-08
3214_vit_b_32,3214,96,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,909.0448930340352,150873.7063623941,0.7321,0.8552,0.7586293864862264,0.8552444090915027,0.7323716793175695,0.8553577076349673,0.9972939373630356,0.9985373726396698,0.8562,0.4056530907495733,0.6246978815355684,0.0,0.0,907.9206732387344,150799.110496849,48000,8,480000,3.183042648053483,136913629.92610142,7.303874716781273e-09,7.303874716781273e-10,13691362.992610142,7.303874716781273e-08
3215_vit_b_32,3215,96,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,914.1730322360528,151799.46104889756,0.7285,0.8583,0.7559712765195254,0.8583097271085656,0.7310718005048074,0.8590656203682882,0.9972575729212492,0.9985686853883649,0.8599,0.4015154173057771,0.6319568541968539,0.0,0.0,913.0488124407518,151724.86518335246,48000,8,480000,3.1636211995966663,138532207.97339314,7.218537946006481e-09,7.218537946006482e-10,13853220.797339313,7.218537946006481e-08
3216_vit_b_32,3216,96,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,919.7567156080622,152590.5477225846,0.7251,0.8581,0.7489559462689168,0.8591201195497171,0.7258157797576469,0.8580636864150472,0.997223230625036,0.9985666657900788,0.8628,0.3930727807435812,0.6316672766120436,0.0,0.0,918.6324958127612,152515.9518570395,48000,8,480000,3.147211777886204,140106109.50569114,7.137447492676112e-09,7.137447492676111e-10,14010610.950569116,7.137447492676111e-08
3217_vit_b_32,3217,96,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,912.9219215610065,151295.8026162823,0.7259,0.8588,0.7448429733940816,0.8584395376752789,0.7261963511967175,0.8586327279053559,0.997231311221125,0.998573736389722,0.8618,0.3915538423344294,0.6321051451121044,0.0,0.0,911.7977017657056,151221.2067507372,48000,8,480000,3.1741579789876924,137883148.77355877,7.252517866721111e-09,7.25251786672111e-10,13788314.877355875,7.25251786672111e-08
3218_vit_b_32,3218,96,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,916.317158116959,151740.70737698412,0.7348,0.8637,0.7540558678411401,0.8616961370011309,0.7322021678584939,0.8619468799279026,0.9973212099824498,0.9986232312240116,0.8601,0.4046119796624386,0.6406181404752367,0.0,0.0,915.192938321658,151666.11151143903,48000,8,480000,3.1648467493267094,138803754.23797414,7.2044160872301435e-09,7.204416087230143e-10,13880375.423797414,7.204416087230144e-08
