exp_id,model,epoch,epoch_label,lr,dropout,weight_decay,optimizer,batch_size,val_accuracy,val_recall,val_precision,val_specificity,val_f1,Pg,energy_J,duration_s,SPJ,FPJ,EDP_inv,Eg,perfJ
853,vit_small_patch32_224,1,epoch_1,0.25,0.0,0.0,SGD,128,0.6871,0.6877648340263421,0.7205088099850573,0.9968393915277604,0.6820511284651849,0.33940981864000236,7982.017440161033,65.79779598489404,6.013517304346008,142544.25783076786,1.9040396206579757e-06,1.6321282180606753,4.252180870117905e-05
853,vit_small_patch32_224,1,epoch_1,0.25,0.0,0.0,SGD,128,0.6871,0.6877648340263421,0.7205088099850573,0.9968393915277604,0.6820511284651849,0.33940981864000236,7982.017440161033,65.79779598489404,6.013517304346008,142544.25783076786,1.9040396206579757e-06,1.6321282180606753,4.252180870117905e-05
853,vit_small_patch32_224,10,epoch_10,0.25,0.0,0.0,SGD,128,0.8059,0.8051550089956152,0.8074063922754656,0.9980393924433949,0.8049469287663662,0.5228781831049136,79111.60588534267,647.745799130993,6.06737778393311,143820.96523852806,1.9514399630460175e-08,0.017028579872161453,6.609373899737629e-06
853,vit_small_patch32_224,10,epoch_10,0.25,0.0,0.0,SGD,128,0.8059,0.8051550089956152,0.8074063922754656,0.9980393924433949,0.8049469287663662,0.5228781831049136,79111.60588534267,647.745799130993,6.06737778393311,143820.96523852806,1.9514399630460175e-08,0.017028579872161453,6.609373899737629e-06
854,vit_small_patch32_224,1,epoch_1,0.35,0.0,0.0,SGD,128,0.6029,0.6049291009653014,0.6519865360910121,0.9959888858282955,0.5908984324033331,0.23683336237341548,7977.243925882431,65.88067528395914,6.01711574147337,142629.55509087548,1.9027822256989549e-06,1.6330029858401052,2.968861985089886e-05
854,vit_small_patch32_224,1,epoch_1,0.35,0.0,0.0,SGD,128,0.6029,0.6049291009653014,0.6519865360910121,0.9959888858282955,0.5908984324033331,0.23683336237341548,7977.243925882431,65.88067528395914,6.01711574147337,142629.55509087548,1.9027822256989549e-06,1.6330029858401052,2.968861985089886e-05
854,vit_small_patch32_224,10,epoch_10,0.35,0.0,0.0,SGD,128,0.771,0.7700017999123859,0.7722962923373441,0.9976868669218828,0.7697554697102597,0.4574296627380627,79950.82165310824,655.3779790862463,6.003690644764488,142311.32694754066,1.9084695004092232e-08,0.016305833296606537,5.721387889204754e-06
854,vit_small_patch32_224,10,epoch_10,0.35,0.0,0.0,SGD,128,0.771,0.7700017999123859,0.7722962923373441,0.9976868669218828,0.7697554697102597,0.4574296627380627,79950.82165310824,655.3779790862463,6.003690644764488,142311.32694754066,1.9084695004092232e-08,0.016305833296606537,5.721387889204754e-06
8492,vit_small_patch32_224,1,epoch_1,0.01,0.0,0.0,SGD,128,0.8171,0.8178471796699732,0.8206594007355585,0.9981525236462526,0.8150094607967568,0.5474030700196313,7938.199967927137,66.07309496589005,6.046710865679289,143331.07714557936,1.906572457367379e-06,1.6523912327207462,6.895808523737303e-05
8492,vit_small_patch32_224,10,epoch_10,0.01,0.0,0.0,SGD,128,0.8757,0.8762258092514996,0.8751546774382093,0.9987444433528113,0.8751647510085472,0.6706726331318704,79465.49725787448,656.8359658091795,6.040357344551007,143180.47344594612,1.915863085488195e-08,0.016569556938511646,8.4397965944322e-06
8502,vit_small_patch32_224,1,epoch_1,0.02,0.0,0.0,SGD,128,0.8398,0.8402134098609845,0.8442906310297567,0.9983818167749025,0.8381373699783093,0.5947769255460487,8002.218196598042,66.35554087394848,5.99833681371074,142184.41987544223,1.8832692589007654e-06,1.6061839283106552,7.432650684267824e-05
8502,vit_small_patch32_224,10,epoch_10,0.02,0.0,0.0,SGD,128,0.8789,0.8793153280831786,0.8788415782882208,0.9987767666132379,0.87846567851384,0.6783645350707077,79862.65624760246,656.6206308773253,6.010318496192142,142468.43336545763,1.9069606220469674e-08,0.01632893500383503,8.494139400617204e-06
8512,vit_small_patch32_224,1,epoch_1,0.03,0.0,0.0,SGD,128,0.8385,0.8390095712991633,0.8445423015999113,0.9983686854503543,0.836753461700542,0.5931743188681975,8165.580110873706,67.54416477493942,5.8783331188044725,139339.85541148012,1.8131140375558273e-06,1.4850964820067207,7.264325507973354e-05
8512,vit_small_patch32_224,10,epoch_10,0.03,0.0,0.0,SGD,128,0.8774,0.8777112982663869,0.8772164099401232,0.9987616150849129,0.8769410264493791,0.6747111842144115,80181.53435747234,659.649507418042,5.986415748294638,141901.84325076666,1.890655467087326e-08,0.01606080489519562,8.41479512235766e-06
8522,vit_small_patch32_224,1,epoch_1,0.04,0.0,0.0,SGD,128,0.8355,0.8358500977019798,0.8419746519876878,0.9983383823937045,0.8334488477686327,0.5870182958533414,7839.243875699518,64.73782971897162,6.123039512623508,145140.36940820032,1.970460297069143e-06,1.7511484931285932,7.488200458631096e-05
8522,vit_small_patch32_224,10,epoch_10,0.04,0.0,0.0,SGD,128,0.8755,0.8754721572555081,0.875840677511285,0.9987424231490347,0.8750543782916652,0.670466523640376,78633.40591783529,643.6095905469265,6.104275840494001,144695.59581189795,1.975924771965509e-08,0.01745258929515744,8.526484587745723e-06
8532,vit_small_patch32_224,1,epoch_1,0.25,0.0,0.0,SGD,128,0.6817,0.6806264747060758,0.7242875200128798,0.9967848456894599,0.6790156302585175,0.3349766699300211,8006.624207729009,66.03505994286388,5.9950359545617635,142106.1763959972,1.8913677445703663e-06,1.6113160185347133,4.1837441253538434e-05
8532,vit_small_patch32_224,10,epoch_10,0.25,0.0,0.0,SGD,128,0.8051,0.8048793692026804,0.80557616940003,0.9980313114196535,0.8040885141725874,0.520992413589846,79869.01161059049,654.724625434028,6.009840241172496,142457.09682090656,1.912330774811265e-08,0.01637231270635719,6.523085776120502e-06
8542,vit_small_patch32_224,1,epoch_1,0.35,0.0,0.0,SGD,128,0.5968,0.5978276818811628,0.6644121210820686,0.9959272691862714,0.59273492919877,0.23608587600554956,7941.822145114485,65.43556834291667,6.043953027773082,143265.7054275544,1.9242698010773235e-06,1.666208275815626,2.97269155228792e-05
8542,vit_small_patch32_224,10,epoch_10,0.35,0.0,0.0,SGD,128,0.7667,0.7668225482848299,0.7678584155451647,0.9976434322945364,0.7659053261348917,0.4503776538766835,79878.2494967604,655.6899804582354,6.009145205660362,142440.62171719788,1.9092944661200036e-08,0.01634253684878972,5.6383014990200725e-06
8841,vit_small_patch32_224,1,epoch_1,0.03,0.1,0.0,SGD,128,0.8372,0.83719102009416,0.8405508281474661,0.9983555543007971,0.8354348619419955,0.5881701768534606,7853.87400289054,65.56075483909808,6.111633568648297,144870.00320876646,1.9421024004273216e-06,1.7195226562266324,7.488917910282116e-05
8841,vit_small_patch32_224,10,epoch_10,0.03,0.1,0.0,SGD,128,0.8826,0.8817009250954468,0.8824396537491327,0.9988141405092971,0.8812106918042718,0.6858907047093976,79020.18147431641,654.4120957704727,6.074397591152234,143987.36256633518,1.9337960076468002e-08,0.016913685492734365,8.679943426000986e-06
8842,vit_small_patch32_224,1,epoch_1,0.03,0.1,0.0,SGD,128,0.8404,0.8409431648158244,0.8460728014286465,0.9983878773862325,0.8385821136662672,0.5969799178206991,7887.5288507093155,65.45221933396533,6.0855561873074375,144251.86563947465,1.937022485395134e-06,1.7004206773049269,7.56865590123342e-05
8842,vit_small_patch32_224,10,epoch_10,0.03,0.1,0.0,SGD,128,0.8834,0.8836433003148629,0.883856171594989,0.9988222211982124,0.8831390465615232,0.6891347950997536,78710.65711136152,651.3513390142471,6.098284750956732,144553.58318127485,1.950523340760129e-08,0.01719442718431409,8.755292108980249e-06
8851,vit_small_patch32_224,1,epoch_1,0.03,0.05,0.0,SGD,128,0.8348,0.8349787545421121,0.83946481526063,0.9983313118580569,0.8334036198801223,0.5841643592174641,7836.482334551241,64.77816329500638,6.1251972442235765,145191.5162219473,1.9699273556149372e-06,1.7519089452537804,7.454420673442588e-05
8851,vit_small_patch32_224,10,epoch_10,0.03,0.05,0.0,SGD,128,0.8827,0.8818028320123148,0.882160338322424,0.9988151506110778,0.8812669347706092,0.6858312427878821,79189.84992371681,652.2248016442172,6.061382872456275,143678.86201274887,1.93612401007288e-08,0.01686156060156502,8.660595309228896e-06
8852,vit_small_patch32_224,1,epoch_1,0.03,0.05,0.0,SGD,128,0.8385,0.8384416215339812,0.844327526426985,0.9983686854503543,0.8367348464054284,0.5926220342925125,7845.395553475081,65.05994715215638,6.118238356858709,145026.56293678156,1.9591669634025883e-06,1.7383827177705877,7.55375596110018e-05
8852,vit_small_patch32_224,10,epoch_10,0.03,0.05,0.0,SGD,128,0.8783,0.8787503103185287,0.8780047644242823,0.9987707060019079,0.8777700663928439,0.6768166635625,78938.62025274304,648.1360470904037,6.080673800265979,144136.13366398597,1.9545387845792525e-08,0.017130453768980054,8.573961153558182e-06
