unique_id,exp_id,batch_size,lr,epochs,optimizer,model,duration,total_energy_J,accuracy_0,accuracy,precision_0,precision,recall_0,recall,specificity_0,specificity,test_accuracy,Pg_0,Pg,weight_decay,dropout,n_samples,rate,tot_samples
387_vit_b_32,387,128,0.03,10,SGD,vit_b_32,923.56560545502,154405.23929226142,0.7215,0.8587,0.7368380458664013,0.8585293567368578,0.7230576204483241,0.8589978047386458,0.997186866575608,0.9985727262015563,0.8644,0.3833167834233655,0.6323657897114745,0.0,0.01,48000,08,480000
388_vit_b_32,388,128,0.03,10,SGD,vit_b_32,931.9016153729754,155410.07521167432,0.731,0.8643,0.7448502756136272,0.864660353161423,0.7334959246909323,0.8653622388114706,0.9972828254726188,0.998629291511652,0.8648,0.3982927535124462,0.6458212036946246,0.0,0.01,48000,08,480000
389_vit_b_32,389,128,0.03,10,SGD,vit_b_32,943.7875898359924,156660.33296960063,0.7183,0.8646,0.7300999903067482,0.8639718311214644,0.7185415753032732,0.8646990434277315,0.997154542980587,0.9986323220432072,0.8668,0.3757531093863788,0.6450381648203752,0.0,0.01,48000,08,480000
3901_vit_b_32,3901,128,0.03,10,SGD,vit_b_32,957.4391608089792,160426.11553543978,0.7382,0.8628,0.7548655975616313,0.8629159590818876,0.7374044689614705,0.8633802335552878,0.9973555512603854,0.9986141391631964,0.8654,0.4098259446428453,0.6419163682630202,0.0,0.0,54000,09,540000
39010_vit_b_32,39010,128,0.03,10,SGD,vit_b_32,961.8672695939896,161290.54396416203,0.7344,0.8532,0.7457759703271107,0.8522969885660677,0.7327307552179161,0.851467746131701,0.9973171661303756,0.998517168629289,0.8639,0.4002384141496536,0.6182520124691496,0.0,0.0,54000,09,540000
39011_vit_b_32,39011,128,0.03,10,SGD,vit_b_32,963.1949947589892,161163.29490391945,0.7534,0.8648,0.7627490242022074,0.865178685226649,0.7548033229565325,0.8662458153327905,0.9975090856289202,0.9986343405394568,0.8663,0.4326711521610438,0.647245647082753,0.0,0.0,54000,09,540000
39012_vit_b_32,39012,128,0.03,10,SGD,vit_b_32,954.4131359900348,160036.88989824324,0.7516,0.8594,0.7753776642659149,0.8589142911644224,0.7524315093813159,0.8601424539822404,0.9974909040951412,0.9985797951520806,0.863,0.4373971773818363,0.6340132532043475,0.0,0.0,54000,09,540000
39013_vit_b_32,39013,128,0.03,10,SGD,vit_b_32,956.0960373679992,160484.66417050778,0.7364,0.862,0.750764289513672,0.8626941185098306,0.7406835373802849,0.8640108679380751,0.9973373694454064,0.998606058359128,0.8681,0.4084060536725674,0.6416194266229143,0.0,0.0,54000,09,540000
39014_vit_b_32,39014,128,0.03,10,SGD,vit_b_32,955.0637403219588,160005.4082249112,0.7486,0.8676,0.7592549276610664,0.868327600400081,0.7501060864012464,0.8680334981228413,0.9974606017212038,0.9986626239772768,0.8653,0.4252613191775259,0.6530680396785417,0.0,0.0,54000,09,540000
39015_vit_b_32,39015,128,0.03,10,SGD,vit_b_32,948.3794708479544,159494.48444757098,0.7282,0.856,0.7417310563116232,0.8580037145151138,0.7309689306477035,0.8572423032008228,0.9972545410892312,0.9985454522327054,0.8632,0.3937332380322792,0.6286868337238602,0.0,0.0,54000,09,540000
3902_vit_b_32,3902,128,0.03,10,SGD,vit_b_32,953.5753203820204,160199.71263301934,0.751,0.8554,0.7676320970421442,0.8542466138364929,0.7511437327883179,0.8547878686070056,0.9974848440508962,0.9985393913644962,0.8659,0.4319389978439248,0.623700459217001,0.0,0.0,54000,09,540000
3903_vit_b_32,3903,128,0.03,10,SGD,vit_b_32,958.3263049660018,160673.2069939603,0.7514,0.8618,0.7598201234930043,0.860511615705291,0.7510155916789796,0.8616759755988848,0.9974888837628904,0.9986040375544306,0.8632,0.4276997536407353,0.6381173148230025,0.0,0.0,54000,09,540000
