model,batch-size,lr,dropout,accuracy,precision,recall,specificity,SPJ,EDPinv,FPJ
vit-b-32,256,0.03,0.0,0.8576388888888888,0.857798546896103,0.8575832292925462,0.9985620078569677,3.2036230504340413,7.385e-09,293595.227144019
vit-l-32,64,0.03,0.0,0.8702000000000001,0.8697306773558549,0.8698984957993057,0.998688887819627,1.3282841823743246,1.517e-09,425682.01193072804
vit-l-32,72,0.03,0.0,0.869,0.8686288908766859,0.8685211824513919,0.9986767665979346,1.3257633028943152,1.512e-09,424874.1328163602
vit-l-32,96,0.03,0.0,0.8674999999999999,0.86681778416113,0.8669980010315202,0.9986616150700397,1.3519571980319844,1.571e-09,433268.6240935012
vit-l-32,128,0.02,0.0,0.861,0.8608030152566943,0.8605700476468932,0.9985959584491795,1.3636603591161691,1.607e-09,437019.19586298516
vit-l-32,128,0.03,0.0,0.8635999999999999,0.8630610496782818,0.8631517138530561,0.9986222210977386,1.3556364749509984,1.588e-09,434447.7407479934
vit-l-32,128,0.03,0.05,0.8781,0.8772629705357614,0.8773777944672917,0.9987686858232063,1.3155706028078178,1.503e-09,421607.6261927016
vit-l-32,128,0.03,0.1,0.8765666666666666,0.8758952055979116,0.8758362643130391,0.9987531975940027,1.3151566308206966,1.500e-09,421474.95847693784
vit-l-32,128,0.04,0.0,0.8674,0.8668559234924258,0.8667381596318107,0.9986606049682588,1.3665389295253112,1.614e-09,437941.7060151858
vit-s-16,64,0.01,0.0,0.9000444444444445,0.8998106685371883,0.8999578187623146,0.9989903471214987,2.940881502474436,6.463e-09,272544.3978336611
vit-s-16,64,0.03,0.0,0.8993166666666667,0.8994665126745143,0.8993532143071844,0.9989829958397279,2.944331197055113,6.477e-09,272864.09617288684
vit-s-16,128,0.01,0.0,0.8964888888888889,0.8963023366758244,0.8963453839179757,0.9989544323922013,2.951874679714647,6.427e-09,273563.18382306286
vit-s-16,128,0.02,0.0,0.902315,0.9021978083980737,0.9022804168620553,0.9990132820571596,2.927081183481533,6.311e-09,271265.46169608855
vit-s-16,128,0.03,0.0,0.90258,0.9026678768697165,0.9025290231242113,0.9990159588268577,2.9333100467398205,6.357e-09,271842.7177958294
